correctTag,targetWord,eventType,orderingId,sessionId,draggedTag
Artigo,seu,interaction,6,Kg5-ij6bVe,Advérbio
Conjunção Subordinativa,que,interaction,33,apCdmtIYX8,Conjunção Subordinativa
Artigo,seu,interaction,7,Kg5-ij6bVe,Artigo
Nome Próprio,Maria,interaction,0,lSGS4RHo28,Nome Próprio
Pontuação,?,interaction,0,nDZJYR8xqe,Verbo
Advérbio,não,interaction,34,apCdmtIYX8,Pronome
Pontuação,?,interaction,1,nDZJYR8xqe,Verbo Auxiliar
Pontuação,.,interaction,0,z8cZsCcBKu,Pontuação
Pontuação,?,interaction,2,nDZJYR8xqe,Artigo
Advérbio,não,interaction,35,apCdmtIYX8,Advérbio
Pronome,você,interaction,1,lSGS4RHo28,Pronome
Pontuação,?,interaction,3,nDZJYR8xqe,Conjunção Subordinativa
Substantivo,casaco,interaction,8,Kg5-ij6bVe,Substantivo
Artigo,A,interaction,0,bGW71IW0T2,Pontuação
Pontuação,?,interaction,4,nDZJYR8xqe,Preposição+Artigo
Advérbio,aqui,interaction,9,Kg5-ij6bVe,Advérbio
Pontuação,",",interaction,1,z8cZsCcBKu,Pontuação
Substantivo,festa,interaction,2,lSGS4RHo28,Substantivo
Advérbio,ontem,interaction,10,Kg5-ij6bVe,Advérbio
Pontuação,?,interaction,5,nDZJYR8xqe,Substantivo
Artigo,o,interaction,0,EIfz0OMXqu,Artigo
Verbo Auxiliar,vai,interaction,36,apCdmtIYX8,Pronome
Verbo,esqueceu,interaction,11,Kg5-ij6bVe,Pronome
Pontuação,?,interaction,6,nDZJYR8xqe,Substantivo
Pontuação,?,interaction,7,nDZJYR8xqe,Preposição
Verbo,esqueceu,interaction,12,Kg5-ij6bVe,Verbo
Verbo Auxiliar,vai,interaction,37,apCdmtIYX8,Preposição+Artigo
Preposição+Artigo,à,interaction,3,lSGS4RHo28,Advérbio
Pronome,Você,interaction,13,Kg5-ij6bVe,Pronome
Preposição+Artigo,à,interaction,4,lSGS4RHo28,Verbo
Verbo Auxiliar,vai,interaction,38,apCdmtIYX8,Verbo
Preposição+Artigo,à,interaction,5,lSGS4RHo28,Preposição+Artigo
Substantivo,causa,interaction,8,nDZJYR8xqe,Substantivo
Verbo Auxiliar,vai,interaction,39,apCdmtIYX8,Verbo Auxiliar
Pontuação,",",interaction,2,z8cZsCcBKu,Pontuação
Preposição,por,interaction,9,nDZJYR8xqe,Verbo
Nome Próprio,Joana,interaction,0,95HYlN99y5,Nome Próprio
Artigo,A,interaction,1,bGW71IW0T2,Artigo
Verbo,acho,interaction,40,apCdmtIYX8,Verbo
Preposição,por,interaction,10,nDZJYR8xqe,Verbo
Artigo,a,interaction,2,bGW71IW0T2,Artigo
Pontuação,",",interaction,6,lSGS4RHo28,Pontuação
Preposição,por,interaction,11,nDZJYR8xqe,Preposição+Artigo
Verbo,começar,interaction,3,z8cZsCcBKu,Verbo
Preposição,por,interaction,12,nDZJYR8xqe,Pontuação
Preposição+Artigo,da,interaction,41,apCdmtIYX8,Preposição+Artigo
Pontuação,.,interaction,0,5RB5ElZyjd,Pontuação
Verbo,veio,interaction,7,lSGS4RHo28,Pontuação
Pontuação,?,interaction,13,nDZJYR8xqe,Pontuação
Verbo,veio,interaction,8,lSGS4RHo28,Advérbio
Nome Próprio,Beatriz,interaction,1,95HYlN99y5,Nome Próprio
Substantivo,menina,interaction,3,bGW71IW0T2,Substantivo
Verbo,adiada,interaction,14,nDZJYR8xqe,Verbo Auxiliar
Verbo,veio,interaction,9,lSGS4RHo28,Verbo
Pontuação,",",interaction,0,0mkioD5umT,Pontuação
Verbo,adiada,interaction,15,nDZJYR8xqe,Substantivo
Preposição,Por,interaction,10,lSGS4RHo28,Pronome
Substantivo,relógio,interaction,1,EIfz0OMXqu,Verbo
Verbo,adiada,interaction,16,nDZJYR8xqe,Artigo
Pontuação,!,interaction,1,0mkioD5umT,Pontuação
Advérbio,tão,interaction,1,5RB5ElZyjd,Advérbio
Advérbio,não,interaction,11,lSGS4RHo28,Pronome
Pronome,que,interaction,12,lSGS4RHo28,Pronome
Substantivo,reunião,interaction,17,nDZJYR8xqe,Artigo
Substantivo,reunião,interaction,18,nDZJYR8xqe,Preposição
Pontuação,.,interaction,2,95HYlN99y5,Pontuação
Pontuação,.,interaction,2,EIfz0OMXqu,Pontuação
Conjunção Subordinativa,de,interaction,2,0mkioD5umT,Pronome
Substantivo,reunião,interaction,19,nDZJYR8xqe,Verbo
Verbo,viajar,interaction,3,0mkioD5umT,Pronome
Pontuação,",",interaction,3,EIfz0OMXqu,Pontuação
Verbo,comeu,interaction,4,bGW71IW0T2,Verbo
Advérbio,não,interaction,13,lSGS4RHo28,Pontuação
Verbo,viajar,interaction,4,0mkioD5umT,Conjunção Subordinativa
Substantivo,reunião,interaction,20,nDZJYR8xqe,Conjunção Subordinativa
Verbo,viajar,interaction,5,0mkioD5umT,Advérbio
Pontuação,?,interaction,14,lSGS4RHo28,Pontuação
Artigo,a,interaction,21,nDZJYR8xqe,Verbo
Preposição+Artigo,pelo,interaction,6,0mkioD5umT,Adjetivo
Artigo,O,interaction,0,lf6-Ak01io,Preposição+Pronome
Preposição+Artigo,pelo,interaction,7,0mkioD5umT,Verbo
Preposição+Artigo,pelo,interaction,8,0mkioD5umT,Conjunção Subordinativa
Substantivo,maçã,interaction,5,bGW71IW0T2,Substantivo
Pronome,todos,interaction,4,EIfz0OMXqu,Substantivo
Verbo,aprovou,interaction,1,lf6-Ak01io,Verbo
Preposição+Artigo,pelo,interaction,9,0mkioD5umT,Interjeição
Advérbio,não,interaction,15,lSGS4RHo28,Preposição
Pontuação,.,interaction,6,bGW71IW0T2,Pontuação
Preposição+Artigo,pelo,interaction,10,0mkioD5umT,Preposição+Artigo
Advérbio,não,interaction,16,lSGS4RHo28,Advérbio
Preposição,por,interaction,22,nDZJYR8xqe,Verbo
Preposição,Por,interaction,17,lSGS4RHo28,Preposição
Verbo,viajar,interaction,11,0mkioD5umT,Pronome
Preposição,por,interaction,23,nDZJYR8xqe,Substantivo
Verbo,viajar,interaction,12,0mkioD5umT,Verbo
Conjunção Subordinativa,Quando,interaction,5,EIfz0OMXqu,Verbo
Pontuação,.,interaction,2,lf6-Ak01io,Pontuação
Conjunção Subordinativa,de,interaction,13,0mkioD5umT,Pronome
Preposição,por,interaction,24,nDZJYR8xqe,Preposição+Artigo
Conjunção Subordinativa,de,interaction,14,0mkioD5umT,Conjunção Subordinativa
Pontuação,.,interaction,0,hk6943593a,Pontuação
Preposição,por,interaction,25,nDZJYR8xqe,Verbo Auxiliar
Preposição,por,interaction,26,nDZJYR8xqe,Verbo
Pontuação,.,interaction,0,25-F2OtnU5,Pontuação
Substantivo,relógio,interaction,6,EIfz0OMXqu,Pronome
Verbo,Será,interaction,0,3uav98HqXU,Verbo
Nome Próprio,Mariana,interaction,3,95HYlN99y5,Nome Próprio
Preposição,por,interaction,27,nDZJYR8xqe,Conjunção Subordinativa
Preposição+Pronome,dela,interaction,3,lf6-Ak01io,Artigo
Preposição,por,interaction,28,nDZJYR8xqe,Preposição
Verbo,gostaria,interaction,15,0mkioD5umT,Advérbio
Verbo,atrasado,interaction,1,hk6943593a,Substantivo
Verbo,adiada,interaction,29,nDZJYR8xqe,Substantivo
Pronome,eu,interaction,16,0mkioD5umT,Pronome
Conjunção Subordinativa,que,interaction,1,3uav98HqXU,Pontuação
Verbo,adiada,interaction,30,nDZJYR8xqe,Substantivo
Pontuação,?,interaction,2,3uav98HqXU,Pontuação
Advérbio,como,interaction,17,0mkioD5umT,Advérbio
Verbo,adiada,interaction,31,nDZJYR8xqe,Verbo
Preposição,como,interaction,2,5RB5ElZyjd,Verbo Auxiliar
Verbo,atrasado,interaction,2,hk6943593a,Verbo
Verbo,gostaria,interaction,18,0mkioD5umT,Substantivo
Substantivo,meia-noite,interaction,7,EIfz0OMXqu,Substantivo
Verbo Auxiliar,será,interaction,32,nDZJYR8xqe,Verbo Auxiliar
Artigo,O,interaction,4,lf6-Ak01io,Substantivo
Verbo,gostaria,interaction,19,0mkioD5umT,Interjeição
Substantivo,trabalho,interaction,3,hk6943593a,Substantivo
Substantivo,reunião,interaction,33,nDZJYR8xqe,Conjunção Subordinativa
Conjunção Subordinativa,que,interaction,3,3uav98HqXU,Verbo
Verbo,gostaria,interaction,20,0mkioD5umT,Adjetivo
Substantivo,reunião,interaction,34,nDZJYR8xqe,Preposição+Artigo
Verbo,gostaria,interaction,21,0mkioD5umT,Verbo
Verbo,deixaram,interaction,1,25-F2OtnU5,Verbo
Artigo,o,interaction,4,hk6943593a,Artigo
Substantivo,reunião,interaction,35,nDZJYR8xqe,Substantivo
Artigo,O,interaction,5,lf6-Ak01io,Artigo
Conjunção Subordinativa,que,interaction,4,3uav98HqXU,Substantivo
Artigo,a,interaction,6,lf6-Ak01io,Artigo
Verbo,apresentou,interaction,5,hk6943593a,Substantivo
Artigo,a,interaction,36,nDZJYR8xqe,Verbo
Verbo,apresentou,interaction,6,hk6943593a,Verbo
Verbo,disse,interaction,4,95HYlN99y5,Adjetivo
Artigo,a,interaction,37,nDZJYR8xqe,Artigo
Substantivo,aluno,interaction,7,hk6943593a,Substantivo
Substantivo,mundo,interaction,22,0mkioD5umT,Substantivo
Preposição+Pronome,dela,interaction,7,lf6-Ak01io,Preposição+Pronome
Conjunção Subordinativa,que,interaction,38,nDZJYR8xqe,Verbo
Pronome,todos,interaction,8,EIfz0OMXqu,Pronome
Adjetivo,inteiro,interaction,23,0mkioD5umT,Interjeição
Artigo,O,interaction,8,hk6943593a,Artigo
Adjetivo,inteiro,interaction,24,0mkioD5umT,Adjetivo
Substantivo,ideia,interaction,8,lf6-Ak01io,Substantivo
Conjunção Subordinativa,que,interaction,39,nDZJYR8xqe,Substantivo
Substantivo,diretor,interaction,9,lf6-Ak01io,Substantivo
Interjeição,Ah,interaction,25,0mkioD5umT,Interjeição
Conjunção Subordinativa,que,interaction,40,nDZJYR8xqe,Substantivo
Conjunção Subordinativa,que,interaction,5,3uav98HqXU,Preposição
Pronome,Eles,interaction,2,25-F2OtnU5,Pronome
Conjunção Subordinativa,que,interaction,6,3uav98HqXU,Conjunção Subordinativa
Verbo,achava,interaction,5,95HYlN99y5,Pronome
Verbo,comemoraram,interaction,9,EIfz0OMXqu,Substantivo
Conjunção Subordinativa,que,interaction,41,nDZJYR8xqe,Conjunção Subordinativa
Substantivo,relógio,interaction,10,EIfz0OMXqu,Verbo
Verbo,Será,interaction,42,nDZJYR8xqe,Preposição+Artigo
Adjetivo,inesperadas,interaction,0,j_FuDOXrRm,Substantivo
Advérbio,amanhã,interaction,7,3uav98HqXU,Advérbio
Substantivo,relógio,interaction,11,EIfz0OMXqu,Conjunção Subordinativa
Verbo,Será,interaction,43,nDZJYR8xqe,Verbo
Adjetivo,cheio,interaction,1,j_FuDOXrRm,Pontuação
Pontuação,!,interaction,2,j_FuDOXrRm,Pontuação
Verbo,teremos,interaction,8,3uav98HqXU,Verbo
Preposição+Artigo,da,interaction,44,nDZJYR8xqe,Substantivo
Pontuação,",",interaction,3,j_FuDOXrRm,Preposição
Substantivo,aula,interaction,9,3uav98HqXU,Substantivo
Substantivo,chuva,interaction,45,nDZJYR8xqe,Substantivo
Preposição+Artigo,da,interaction,46,nDZJYR8xqe,Preposição+Artigo
Pronome,aquilo,interaction,3,5RB5ElZyjd,Pronome
Pontuação,",",interaction,4,j_FuDOXrRm,Pontuação
Conjunção Subordinativa,Quando,interaction,12,EIfz0OMXqu,Verbo
Artigo,o,interaction,3,25-F2OtnU5,Substantivo
Preposição,de,interaction,10,3uav98HqXU,Preposição
Substantivo,matemática,interaction,11,3uav98HqXU,Substantivo
Artigo,que,interaction,5,j_FuDOXrRm,Artigo
Artigo,o,interaction,4,25-F2OtnU5,Preposição+Artigo
Substantivo,dia,interaction,6,j_FuDOXrRm,Substantivo
Conjunção Subordinativa,Quando,interaction,13,EIfz0OMXqu,Conjunção Subordinativa
Advérbio,jamais,interaction,4,5RB5ElZyjd,Advérbio
Adjetivo,longo,interaction,7,j_FuDOXrRm,Conjunção Coordenativa
Adjetivo,longo,interaction,8,j_FuDOXrRm,Adjetivo
Adjetivo,cheio,interaction,9,j_FuDOXrRm,Preposição
Verbo,comemoraram,interaction,14,EIfz0OMXqu,Substantivo
Adjetivo,cheio,interaction,10,j_FuDOXrRm,Adjetivo
Verbo,comemoraram,interaction,15,EIfz0OMXqu,Verbo
Preposição,de,interaction,11,j_FuDOXrRm,Preposição
Conjunção Coordenativa,e,interaction,12,j_FuDOXrRm,Substantivo
Verbo,marcou,interaction,16,EIfz0OMXqu,Verbo
Verbo Auxiliar,tinha,interaction,5,5RB5ElZyjd,Verbo
Conjunção Coordenativa,e,interaction,13,j_FuDOXrRm,Adjetivo
Verbo,preso,interaction,5,25-F2OtnU5,Artigo
Conjunção Coordenativa,e,interaction,14,j_FuDOXrRm,Conjunção Coordenativa
Substantivo,relógio,interaction,17,EIfz0OMXqu,Substantivo
Substantivo,surpresas,interaction,15,j_FuDOXrRm,Interjeição
Verbo,preso,interaction,6,25-F2OtnU5,Substantivo
Substantivo,surpresas,interaction,16,j_FuDOXrRm,Adjetivo
Verbo,preso,interaction,7,25-F2OtnU5,Preposição+Artigo
Substantivo,surpresas,interaction,17,j_FuDOXrRm,Substantivo
Verbo,preso,interaction,8,25-F2OtnU5,Substantivo
Adjetivo,inesperadas,interaction,18,j_FuDOXrRm,Interjeição
Verbo,preso,interaction,9,25-F2OtnU5,Verbo
Verbo de Ligação,estava,interaction,6,95HYlN99y5,Verbo de Ligação
Adjetivo,inesperadas,interaction,19,j_FuDOXrRm,Adjetivo
Interjeição,Ah,interaction,20,j_FuDOXrRm,Interjeição
Substantivo,quintal,interaction,10,25-F2OtnU5,Artigo
Substantivo,quintal,interaction,11,25-F2OtnU5,Preposição+Artigo
Verbo,falou,interaction,7,95HYlN99y5,Verbo
Substantivo,quintal,interaction,12,25-F2OtnU5,Substantivo
Substantivo,dobro,interaction,0,68ANMvWNUK,Substantivo
Verbo,paguem,interaction,1,68ANMvWNUK,Artigo
Verbo,paguem,interaction,2,68ANMvWNUK,Pontuação
Verbo Auxiliar,tinha,interaction,6,5RB5ElZyjd,Verbo Auxiliar
Pontuação,",",interaction,3,68ANMvWNUK,Pontuação
Verbo,achava,interaction,8,95HYlN99y5,Adjetivo
Pontuação,.,interaction,4,68ANMvWNUK,Pontuação
Preposição+Artigo,no,interaction,13,25-F2OtnU5,Preposição+Artigo
Verbo,paguem,interaction,5,68ANMvWNUK,Pronome
Substantivo,cachorro,interaction,14,25-F2OtnU5,Substantivo
Verbo,paguem,interaction,6,68ANMvWNUK,Conjunção Subordinativa
Artigo,o,interaction,15,25-F2OtnU5,Artigo
Verbo,paguem,interaction,7,68ANMvWNUK,Verbo
Artigo,o,interaction,8,68ANMvWNUK,Artigo
Pontuação,.,interaction,0,A7qaY20Asn,Pontuação
Pontuação,",",interaction,1,A7qaY20Asn,Pontuação
Conjunção Coordenativa,nem,interaction,9,68ANMvWNUK,Preposição
Pontuação,",",interaction,2,A7qaY20Asn,Pontuação
Pronome,algo,interaction,7,5RB5ElZyjd,Pronome
Conjunção Coordenativa,nem,interaction,10,68ANMvWNUK,Verbo
Conjunção Coordenativa,nem,interaction,11,68ANMvWNUK,Artigo
Conjunção Coordenativa,nem,interaction,12,68ANMvWNUK,Substantivo
Conjunção Coordenativa,nem,interaction,13,68ANMvWNUK,Pronome
Pronome,Ele,interaction,3,A7qaY20Asn,Verbo
Adjetivo,surpreendente,interaction,8,5RB5ElZyjd,Preposição
Conjunção Coordenativa,nem,interaction,14,68ANMvWNUK,Conjunção Coordenativa
Verbo,disse,interaction,9,95HYlN99y5,Verbo
Adjetivo,surpreendente,interaction,9,5RB5ElZyjd,Adjetivo
Substantivo,trabalho,interaction,4,A7qaY20Asn,Conjunção Subordinativa
Conjunção Subordinativa,que,interaction,10,95HYlN99y5,Verbo
Pronome,isso,interaction,15,68ANMvWNUK,Verbo Auxiliar
Pronome,Ele,interaction,5,A7qaY20Asn,Conjunção Subordinativa
Verbo,aceitar,interaction,16,68ANMvWNUK,Pronome
Verbo,aceitar,interaction,17,68ANMvWNUK,Pronome
Conjunção Subordinativa,que,interaction,11,95HYlN99y5,Pronome
Pontuação,.,interaction,0,ZAvaIp8jg2,Pontuação
Verbo,aceitar,interaction,18,68ANMvWNUK,Substantivo
Adjetivo,doente,interaction,6,A7qaY20Asn,Verbo
Verbo,aceitar,interaction,19,68ANMvWNUK,Verbo
Preposição+Artigo,ao,interaction,7,A7qaY20Asn,Verbo
Pontuação,",",interaction,1,ZAvaIp8jg2,Pontuação
Verbo Auxiliar,vou,interaction,20,68ANMvWNUK,Preposição
Verbo Auxiliar,vou,interaction,21,68ANMvWNUK,Substantivo
Conjunção Subordinativa,que,interaction,12,95HYlN99y5,Conjunção Subordinativa
Verbo Auxiliar,vou,interaction,22,68ANMvWNUK,Artigo
Substantivo,trabalho,interaction,0,QbSdJK_pu0,Adjetivo
Verbo Auxiliar,vou,interaction,23,68ANMvWNUK,Pronome
Verbo Auxiliar,vou,interaction,24,68ANMvWNUK,Verbo Auxiliar
Conjunção Subordinativa,que,interaction,13,95HYlN99y5,Conjunção Subordinativa
Pronome,Ele,interaction,8,A7qaY20Asn,Adjetivo
Preposição+Artigo,ao,interaction,9,A7qaY20Asn,Adjetivo
Pronome,algo,interaction,14,95HYlN99y5,Verbo
Artigo,nenhum,interaction,25,68ANMvWNUK,Substantivo
Adjetivo,cansado,interaction,2,ZAvaIp8jg2,Verbo
Substantivo,trabalho,interaction,1,QbSdJK_pu0,Advérbio
Pronome,algo,interaction,15,95HYlN99y5,Adjetivo
Pronome,isso,interaction,26,68ANMvWNUK,Artigo
Pronome,algo,interaction,16,95HYlN99y5,Conjunção Subordinativa
Adjetivo,cansado,interaction,3,ZAvaIp8jg2,Conjunção Coordenativa
Adjetivo,doente,interaction,10,A7qaY20Asn,Substantivo
Pronome,isso,interaction,27,68ANMvWNUK,Preposição
Adjetivo,cansado,interaction,4,ZAvaIp8jg2,Verbo de Ligação
Adjetivo,doente,interaction,11,A7qaY20Asn,Pronome
Adjetivo,cansado,interaction,5,ZAvaIp8jg2,Adjetivo
Pronome,algo,interaction,17,95HYlN99y5,Pronome
Pronome,isso,interaction,28,68ANMvWNUK,Pronome
Adjetivo,doente,interaction,12,A7qaY20Asn,Conjunção Subordinativa
Pontuação,.,interaction,2,QbSdJK_pu0,Pontuação
Adjetivo,doente,interaction,13,A7qaY20Asn,Verbo
Artigo,nenhum,interaction,29,68ANMvWNUK,Pronome
