correctTag,targetWord,orderingId,sessionId,draggedTag,serie
Pontuação,",",20,Kw85wiVxp6,Pontuação,6-ensino-fundamental
Artigo,os,4,nAF45HKVn3,Verbo Auxiliar,6-ensino-fundamental
Substantivo,amigo,7,YQ2msWqUKx,Substantivo,6-ensino-fundamental
Verbo,traga,4,W_auyYfE2n,Verbo,6-ensino-fundamental
Adjetivo,doente,21,Kw85wiVxp6,Pontuação,6-ensino-fundamental
Artigo,os,5,W_auyYfE2n,Artigo,6-ensino-fundamental
Verbo de Ligação,estivesse,22,Kw85wiVxp6,Conjunção Subordinativa,6-ensino-fundamental
Substantivo,documentos,5,nAF45HKVn3,Artigo,6-ensino-fundamental
Pontuação,.,4,7mqg6cDV_J,Pontuação,6-ensino-fundamental
Adjetivo,doente,23,Kw85wiVxp6,Pontuação,6-ensino-fundamental
Adjetivo,doente,24,Kw85wiVxp6,Verbo,6-ensino-fundamental
Adjetivo,doente,25,Kw85wiVxp6,Conjunção Subordinativa,6-ensino-fundamental
Adjetivo,doente,26,Kw85wiVxp6,Preposição+Artigo,6-ensino-fundamental
Adjetivo,doente,27,Kw85wiVxp6,Adjetivo,6-ensino-fundamental
Nome Próprio,Maria,6,W_auyYfE2n,Nome Próprio,6-ensino-fundamental
Verbo de Ligação,estivesse,28,Kw85wiVxp6,Pontuação,6-ensino-fundamental
Pronome,Ela,8,YQ2msWqUKx,Substantivo,6-ensino-fundamental
Preposição,por,7,W_auyYfE2n,Preposição,6-ensino-fundamental
Verbo de Ligação,estivesse,29,Kw85wiVxp6,Verbo,6-ensino-fundamental
Verbo de Ligação,estivesse,30,Kw85wiVxp6,Conjunção Subordinativa,6-ensino-fundamental
Substantivo,gentileza,8,W_auyYfE2n,Nome Próprio,6-ensino-fundamental
Verbo de Ligação,estivesse,31,Kw85wiVxp6,Preposição+Artigo,6-ensino-fundamental
Verbo,perceberam,6,nAF45HKVn3,Verbo Auxiliar,6-ensino-fundamental
Substantivo,artigo,5,7mqg6cDV_J,Artigo,6-ensino-fundamental
Pontuação,.,32,Kw85wiVxp6,Pontuação,6-ensino-fundamental
Conjunção Subordinativa,embora,33,Kw85wiVxp6,Preposição+Artigo,6-ensino-fundamental
Conjunção Subordinativa,embora,34,Kw85wiVxp6,Verbo,6-ensino-fundamental
Substantivo,gentileza,9,W_auyYfE2n,Substantivo,6-ensino-fundamental
Substantivo,artigo,6,7mqg6cDV_J,Substantivo,6-ensino-fundamental
Conjunção Subordinativa,embora,35,Kw85wiVxp6,Pontuação,6-ensino-fundamental
Pronome,Ela,9,YQ2msWqUKx,Substantivo,6-ensino-fundamental
Conjunção Subordinativa,embora,36,Kw85wiVxp6,Conjunção Subordinativa,6-ensino-fundamental
Verbo de Ligação,estivesse,37,Kw85wiVxp6,Substantivo,6-ensino-fundamental
