correctTag,targetWord,eventType,orderingId,sessionId,draggedTag
Pontuação,.,interaction,1,UGrrM6Yaph,Pontuação
Adjetivo,cansado,interaction,18,RO5iOcLJpf,Verbo de Ligação
Adjetivo,surpreendente,interaction,22,6ds58-dOZu,Verbo
Verbo,traga,interaction,9,7pODPObOhD,Verbo
Adjetivo,final,interaction,2,UGrrM6Yaph,Adjetivo
Adjetivo,cansado,interaction,19,RO5iOcLJpf,Advérbio
Adjetivo,surpreendente,interaction,23,6ds58-dOZu,Verbo Auxiliar
Substantivo,mal-entendido,interaction,48,oEdlfTnFM8,Substantivo
Adjetivo,surpreendente,interaction,24,6ds58-dOZu,Adjetivo
Substantivo,prova,interaction,3,UGrrM6Yaph,Preposição
Artigo,a,interaction,4,UGrrM6Yaph,Substantivo
Preposição,de,interaction,49,oEdlfTnFM8,Substantivo
Verbo,visto,interaction,25,6ds58-dOZu,Verbo Auxiliar
Preposição,de,interaction,50,oEdlfTnFM8,Pronome
Substantivo,favor,interaction,10,7pODPObOhD,Artigo
Artigo,a,interaction,11,7pODPObOhD,Artigo
Artigo,a,interaction,5,UGrrM6Yaph,Artigo
Substantivo,aula,interaction,12,7pODPObOhD,Artigo
Verbo,visto,interaction,26,6ds58-dOZu,Verbo
Substantivo,estudante,interaction,5,pePYdL3mqu,Verbo
Preposição,para,interaction,6,UGrrM6Yaph,Advérbio
Preposição,para,interaction,13,7pODPObOhD,Artigo
Substantivo,manhã,interaction,2,0RtBunVQaJ,Substantivo
Preposição,por,interaction,14,7pODPObOhD,Artigo
Advérbio,Não,interaction,20,RO5iOcLJpf,Advérbio
Preposição,para,interaction,7,UGrrM6Yaph,Verbo
Preposição,para,interaction,8,UGrrM6Yaph,Artigo
Substantivo,favor,interaction,15,7pODPObOhD,Artigo
Preposição+Artigo,da,interaction,3,0RtBunVQaJ,Artigo
Substantivo,estudante,interaction,6,pePYdL3mqu,Substantivo
Verbo Auxiliar,tinha,interaction,27,6ds58-dOZu,Verbo Auxiliar
Preposição,para,interaction,9,UGrrM6Yaph,Substantivo
Artigo,seu,interaction,16,7pODPObOhD,Artigo
Preposição,para,interaction,10,UGrrM6Yaph,Substantivo
Substantivo,favor,interaction,17,7pODPObOhD,Preposição
Numeral,oito,interaction,4,0RtBunVQaJ,Numeral
Preposição,por,interaction,18,7pODPObOhD,Substantivo
Preposição,para,interaction,11,UGrrM6Yaph,Verbo
Substantivo,favor,interaction,19,7pODPObOhD,Substantivo
Preposição,para,interaction,12,UGrrM6Yaph,Preposição
Preposição+Artigo,da,interaction,5,0RtBunVQaJ,Preposição+Artigo
Advérbio,bastante,interaction,13,UGrrM6Yaph,Advérbio
Preposição,por,interaction,20,7pODPObOhD,Preposição
Preposição,para,interaction,21,7pODPObOhD,Preposição
Verbo,estudaram,interaction,14,UGrrM6Yaph,Substantivo
Preposição+Artigo,às,interaction,6,0RtBunVQaJ,Pontuação
Substantivo,aula,interaction,22,7pODPObOhD,Substantivo
Verbo,é,interaction,21,RO5iOcLJpf,Conjunção Subordinativa
Preposição,de,interaction,51,oEdlfTnFM8,Substantivo
Verbo,estudaram,interaction,15,UGrrM6Yaph,Verbo
Preposição+Artigo,às,interaction,7,0RtBunVQaJ,Artigo
Verbo de Ligação,estou,interaction,22,RO5iOcLJpf,Advérbio
Substantivo,alunos,interaction,16,UGrrM6Yaph,Artigo
Preposição+Artigo,às,interaction,8,0RtBunVQaJ,Verbo
Preposição,de,interaction,52,oEdlfTnFM8,Artigo
Preposição+Artigo,às,interaction,9,0RtBunVQaJ,Substantivo
Preposição,de,interaction,53,oEdlfTnFM8,Preposição
Artigo,todo,interaction,7,pePYdL3mqu,Substantivo
Adjetivo,cansado,interaction,23,RO5iOcLJpf,Advérbio
Substantivo,alunos,interaction,17,UGrrM6Yaph,Substantivo
Verbo,é,interaction,24,RO5iOcLJpf,Conjunção Subordinativa
Artigo,O,interaction,8,pePYdL3mqu,Pronome
Preposição+Artigo,às,interaction,10,0RtBunVQaJ,Artigo
Artigo,Os,interaction,18,UGrrM6Yaph,Artigo
Substantivo,prova,interaction,19,UGrrM6Yaph,Substantivo
Substantivo,bolsa,interaction,9,pePYdL3mqu,Substantivo
Artigo,A,interaction,11,0RtBunVQaJ,Verbo
Artigo,A,interaction,12,0RtBunVQaJ,Substantivo
Verbo,abre,interaction,13,0RtBunVQaJ,Preposição+Artigo
Verbo,destacou,interaction,10,pePYdL3mqu,Verbo
Conjunção Subordinativa,que,interaction,25,RO5iOcLJpf,Advérbio
Substantivo,biblioteca,interaction,14,0RtBunVQaJ,Substantivo
Artigo,uma,interaction,11,pePYdL3mqu,Substantivo
Pontuação,.,interaction,0,k4ynYAr1nq,Pontuação
Verbo,abre,interaction,15,0RtBunVQaJ,Artigo
Artigo,uma,interaction,12,pePYdL3mqu,Verbo
Verbo,abre,interaction,16,0RtBunVQaJ,Verbo
Artigo,uma,interaction,13,pePYdL3mqu,Adjetivo
Advérbio,não,interaction,0,4zU1hox2-7,Pronome
Preposição+Artigo,às,interaction,17,0RtBunVQaJ,Preposição+Artigo
Conjunção Subordinativa,que,interaction,26,RO5iOcLJpf,Conjunção Subordinativa
Advérbio,não,interaction,1,4zU1hox2-7,Verbo
Artigo,A,interaction,18,0RtBunVQaJ,Artigo
Artigo,uma,interaction,14,pePYdL3mqu,Preposição
Advérbio,não,interaction,2,4zU1hox2-7,Substantivo
Advérbio,não,interaction,3,4zU1hox2-7,Verbo
Verbo,é,interaction,27,RO5iOcLJpf,Verbo de Ligação
Advérbio,não,interaction,4,4zU1hox2-7,Verbo Auxiliar
Artigo,uma,interaction,15,pePYdL3mqu,Artigo
Verbo,é,interaction,28,RO5iOcLJpf,Adjetivo
Verbo,é,interaction,29,RO5iOcLJpf,Advérbio
